code,name,tech,system,capacity_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
3283,EOLBA049422,Wind,NORDESTE,18.0,-12.847698,-42.067419,plant,siga:Operação,EOL.CV.BA.049422-4.1,Novo Horizonte - BA,VSLUZIEOL034 034kV-3
3284,EOLBA049423,Wind,NORDESTE,9.0,-12.868041,-42.064430,plant,siga:Operação,EOL.CV.BA.049423-2.1,Novo Horizonte - BA,VSLUZIEOL034 034kV-2
3285,EOLBA050844,Wind,NORDESTE,39.9,-12.250904,-42.374216,plant,siga:Operação,EOL.CV.BA.050844-6.1,Brotas de Macaúbas - BA,MORRO-EOL034
3286,EOLBA050845,Wind,NORDESTE,5.7,-12.224532,-42.378040,plant,siga:Operação,EOL.CV.BA.050845-4.1,Brotas de Macaúbas - BA,MORRO-EOL034
3287,EOLBA051588,Wind,NORDESTE,72.0,-11.051634,-41.263104,plant,siga:Operação,EOL.CV.BA.051588-4.1,Várzea Nova - BA,VSTG14EOL034
3288,EOLBA051589,Wind,NORDESTE,72.0,-11.033739,-41.237690,plant,siga:Operação,EOL.CV.BA.051589-2.1,Morro do Chapéu - BA,VSNTG5EOL034
3289,EOLBA051590,Wind,NORDESTE,72.0,-11.006496,-41.256456,plant,siga:Operação,EOL.CV.BA.051590-6.1,Várzea Nova - BA,VSNTG7EOL034
3290,EOLBA051591,Wind,NORDESTE,74.4,-11.032149,-41.259469,plant,siga:Construção,EOL.CV.PB.051591-4.2,Picuí - PB,VSANT--BA500
3291,EOLBA051592,Wind,NORDESTE,67.5,-11.044646,-41.289828,plant,siga:Operação,EOL.CV.BA.051592-2.1,"Morro do Chapéu - BA, Várzea Nova - BA",VSNTG5EOL034
3292,EOLBA051593,Wind,NORDESTE,67.5,-11.019490,-41.294006,plant,siga:Operação,EOL.CV.BA.051593-0.1,"Morro do Chapéu - BA, Várzea Nova - BA",VSNTG4EOL034
3293,EOLBA051594,Wind,NORDESTE,72.0,-11.024283,-41.298461,plant,siga:Operação,EOL.CV.BA.051594-9.1,"Morro do Chapéu - BA, Várzea Nova - BA",VSNTG7EOL034
