code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
35,URUGUAIANA,SUL,0.0,-29.759899,-56.990535,plant,siga-name,UTE.GN.RS.002913-0.1,Uruguaiana - RS,
258,TROMBUDO,SUL,28.02,-27.290944,-49.783167,plant,siga-name,UTE.GN.SC.035310-8.1,Trombudo Central - SC,TROMBUUTE013
28,FIGUEIRA,SUL,0.0,-21.103550,-50.230166,plant,siga-token,UTE.AI.SP.030580-4.1,Buritama - SP,FIGUEIUTE013
26,J.LACERDA A1,SUL,80.0,-28.450000,-48.970000,bus-proxy,bus:JLACP-UTE013,,,JLACP-UTE013
27,J.LACERDA A2,SUL,110.0,-28.450000,-48.970000,bus-proxy,bus:JLACM-UTE013,,,JLACM-UTE013
25,J.LACERDA B,SUL,220.0,-28.450000,-48.970000,bus-proxy,bus:JLACG-UTE013,,,JLACG-UTE013
24,J.LACERDA C,SUL,330.0,-28.450000,-48.970000,bus-proxy,bus:JLACEGUTE013,,,JLACEGUTE013
64,CANOAS     1,SUL,248.57,-29.876371,-51.146928,siga-fuzzy,siga-fuzzy,UTE.GN.RS.028038-0.1,Canoas - RS,
149,SAO SEPE,SUL,7.2,-30.101449,-53.654444,plant,siga-name,UTE.AI.RS.034046-4.1,São Sepé - RS,S.SEPEUTE013
107,PAMPA SUL,SUL,345.0,-31.450926,-53.779020,plant,siga-name,UTE.CM.RS.032282-2.1,Candiota - RS,PAMPASUTE020
254,B. BONITA I1,SUL,9.39223,-24.730000,-52.010000,bus-proxy,bus:PITANG-PR138,,,PITANG-PR138
768,CANOAS     2,SUL,248.57,-29.876371,-51.146928,siga-fuzzy,siga-fuzzy,UTE.GN.RS.028038-0.1,Canoas - RS,
782,CANDIOTA 3 1,SUL,350.0,-31.550000,-53.660000,bus-proxy,bus:CANDI-UTE013,,,CANDI-UTE013
810,B. BONITA I2,SUL,9.39,-24.730000,-52.010000,bus-proxy,bus:PITANG-PR138,,,PITANG-PR138
839,GFSU-9261,SUL,7164.42,-32.080000,-52.270000,bus-proxy,bus:QUINTA-RS230,,,QUINTA-RS230
840,GFSU-7770,SUL,7164.42,-26.250000,-48.900000,bus-proxy,bus:JNORTE-SC230,,,JNORTE-SC230
841,GFSU-9340,SUL,7164.42,-29.760000,-57.000000,bus-proxy,bus:UTUR---RS230,,,UTUR---RS230
856,GISU-9261,SUL,4007.9,-32.080000,-52.270000,bus-proxy,bus:QUINTA-RS230,,,QUINTA-RS230
857,GISU-7770,SUL,4007.9,-26.250000,-48.900000,bus-proxy,bus:JNORTE-SC230,,,JNORTE-SC230
858,GISU-9340,SUL,4007.9,-29.760000,-57.000000,bus-proxy,bus:UTUR---RS230,,,UTUR---RS230
879,RCSU-51711,SUL,1699.24,-24.243333,-50.740000,bus-proxy-interp,bus:KLACEL-PR034,,,KLACEL-PR034
880,RCSU-7080,SUL,1699.24,-23.442703,-51.873249,bus-proxy-interp,bus:JALVOR-PR138,,,JALVOR-PR138
881,RCSU-6900,SUL,1699.24,-23.777807,-52.422608,bus-proxy-interp,bus:CIANOR-PR138,,,CIANOR-PR138
882,RCSU-7119,SUL,1699.24,-23.089175,-52.461145,bus-proxy-interp,bus:PRANAV-PR138,,,PRANAV-PR138
883,RCSU-7078,SUL,1699.24,-24.325100,-53.957917,bus-proxy-interp,bus:MCROND-PR138,,,MCROND-PR138
884,RCSU-7122,SUL,1699.24,-26.210000,-52.670000,bus-proxy,bus:PATOBR-PR138,,,PATOBR-PR138
885,RCSU-6954,SUL,1699.24,-25.860790,-53.241331,bus-proxy-interp,bus:FBELTR-PR138,,,FBELTR-PR138
886,RCSU-7235,SUL,1699.24,-23.911295,-53.323555,bus-proxy-interp,bus:UMUARA-PR138,,,UMUARA-PR138
887,RCSU-6931,SUL,1699.24,-25.704171,-53.048260,bus-proxy-interp,bus:2VIZIN-PR138,,,2VIZIN-PR138
888,RCSU-7079,SUL,1699.24,-25.162935,-54.182171,bus-proxy-interp,bus:MEDIAN-PR138,,,MEDIAN-PR138
909,RSSU-51711,SUL,1066.3,-24.243333,-50.740000,bus-proxy-interp,bus:KLACEL-PR034,,,KLACEL-PR034
910,RSSU-7080,SUL,1066.3,-23.442703,-51.873249,bus-proxy-interp,bus:JALVOR-PR138,,,JALVOR-PR138
911,RSSU-6900,SUL,1066.3,-23.777807,-52.422608,bus-proxy-interp,bus:CIANOR-PR138,,,CIANOR-PR138
912,RSSU-7119,SUL,1066.3,-23.089175,-52.461145,bus-proxy-interp,bus:PRANAV-PR138,,,PRANAV-PR138
913,RSSU-7078,SUL,1066.3,-24.325100,-53.957917,bus-proxy-interp,bus:MCROND-PR138,,,MCROND-PR138
914,RSSU-7122,SUL,1066.3,-26.210000,-52.670000,bus-proxy,bus:PATOBR-PR138,,,PATOBR-PR138
915,RSSU-6954,SUL,1066.3,-25.860790,-53.241331,bus-proxy-interp,bus:FBELTR-PR138,,,FBELTR-PR138
