code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
287,STO ANTONIO,AC RO,3568.3,-8.796685,-63.952185,siga-fuzzy,siga-fuzzy,UHE.PH.RO.029707-0.1,Porto Velho - RO,
204,CACH CALDEIR,MAN AP BV,219.0,0.850000,-51.300000,bus-proxy,bus:C.CALDUHE013,,,C.CALDUHE013
277,BALBINA,MAN AP BV,249.75,-1.915900,-59.473372,plant,siga-name,UHE.PH.AM.000190-2.1,Presidente Figueiredo - AM,BALBI1UHE013
280,COARA NUNES,MAN AP BV,78.0,0.903221,-51.259852,siga-fuzzy,siga-fuzzy,UHE.PH.AP.000783-8.1,"Ferreira Gomes - AP, Macapá - AP",
284,FERREIRA GOM,MAN AP BV,252.0,0.860000,-51.200000,bus-proxy,bus:F.GOMEUHE013,,,F.GOMEUHE013
286,STO ANT JARI,MAN AP BV,389.55,-0.650000,-52.520000,bus-proxy,bus:S.A.JAUHE013,,,S.A.JAUHE013
339,BEM QUERER,MAN AP BV,650.1,-20.137500,-43.888056,plant,siga-token,CGH.PH.MG.027788-6.1,Nova Lima - MG,BEMQUEUHE013
421,URUCUPATA,MAN AP BV,291.6,-0.810000,-52.480000,bus-proxy-interp,bus:URUCUPUHE013,,,URUCUPUHE013
288,BELO MONTE,B. MONTE,11000.0,-3.126764,-51.775000,plant,siga-name,UHE.PH.PA.030354-2.1,"Altamira - PA, Vitória do Xingu - PA",
225,SLT APIACAS,T. PIRES,45.0,-10.340000,-56.980000,bus-proxy,bus:APIAC-PCH013,,,APIAC-PCH013
227,SINOP,T. PIRES,401.88,-11.266667,-55.450000,plant,siga-name,UHE.PH.MT.031428-5.1,"Cláudia - MT, Itaúba - MT",SINOP-UHE013
228,COLIDER,T. PIRES,300.0,-10.984805,-55.766005,plant,siga-name,UHE.PH.MT.030422-0.1,Nova Canaã do Norte - MT,COLIDEUHE013
229,TELES PIRES,T. PIRES,1819.8,-9.351509,-56.777994,plant,siga-name,UHE.PH.PA.030557-0.1,"Jacareacanga - PA, Paranaíta - MT",TPIRESUHE013
230,SAO MANOEL,T. PIRES,735.84,-9.190275,-57.052227,plant,siga-name,UHE.PH.PA.031444-7.1,"Jacareacanga - PA, Paranaíta - MT",SMANOEUHE013
309,JURUENA,T. PIRES,0.0,-13.401389,-59.007500,plant,siga-name,UHE.PH.MT.040733-0.1,Campos de Júlio - MT,PARECI-MT230
234,JARDIM OURO,TAPAJOS,1.0,-28.560789,-51.406997,plant,siga-token,PCH.PH.RS.030887-0.1,"André da Rocha - RS, Muitos Capões - RS",MIRITI-PA500
