code,name,lat,lon,confidence,source
81649,SPEDRO-BA034,-13.316667,-43.316667,interpolated,topology-interp
81650,BJL411UFV034,-13.320000,-43.350000,case-existing,case-existing
81651,SPEDRO-BA069,-13.313333,-43.333333,interpolated,topology-interp
81652,BJS1E2UFV034,-13.300000,-43.320000,case-existing,case-existing
81653,PAJEU-UFV034,-13.340000,-43.350000,case-existing,case-existing
81654,PAJEU--BA069,-13.320000,-43.350000,interpolated,topology-interp
81655,PAJEU--BA034,-13.330000,-43.350000,interpolated,topology-interp
81656,BJL2E6UFV034,-13.313333,-43.350000,interpolated,topology-interp
81657,BJL411-CE034,-13.316667,-43.350000,interpolated,topology-interp
81658,BJL411-CE069,-13.313333,-43.350000,interpolated,topology-interp
81659,BJS1E2-CE034,-13.303333,-43.330000,interpolated,topology-interp
81660,BJS1E2-CE069,-13.306667,-43.340000,interpolated,topology-interp
81661,LUZEI2-BA230,-13.336667,-43.296667,interpolated,topology-interp
81662,LUZEI2-BA034,-13.363333,-43.253333,interpolated,topology-interp
81663,LUZEI2UFV034,-13.390000,-43.210000,case-existing,case-existing
81664,LUZEI--BA230,-13.323333,-43.316667,interpolated,topology-interp
81665,LUZEI--BA034,-13.336667,-43.293333,interpolated,topology-interp
81666,LUZEI-UFV034,-13.350000,-43.270000,case-existing,case-existing
81667,NEWER1-BA500,-12.173983,-44.783557,interpolated,topology-interp
81668,NEWER1UFV034,-12.181950,-44.730670,reference-psrbus,reference-psrbus
81669,SSBARD-BA000,-12.095637,-44.986653,interpolated,topology-interp
81670,BARRE3-BA500,-12.138823,-44.884814,interpolated,topology-interp
81671,SSBARD-BA013,-12.096468,-44.984242,interpolated,topology-interp
81672,SSBG15EOL034,-12.060000,-45.090000,case-existing,case-existing
81673,SSBG15-BA034,-12.074567,-45.047757,interpolated,topology-interp
81674,SSBARB-BA000,-12.088514,-45.007310,interpolated,topology-interp
81675,SSBARB-BA000 999kV-2,-12.084265,-45.011832,interpolated,topology-interp
81676,SSBARA-BA000,-12.108265,-44.957832,interpolated,topology-interp
81677,SSBG19-BA034,-12.066823,-45.046814,interpolated,topology-interp
81678,NEWER1-BA034,-12.177967,-44.757113,interpolated,topology-interp
81679,SSBG19EOL034,-12.050000,-45.080000,case-existing,case-existing
81680,S.BARR-BA069,-12.100000,-44.990000,interpolated,topology-interp
81681,S.BARR-BA034,-12.070000,-45.030000,interpolated,topology-interp
81682,S.BARRUFV034,-12.040000,-45.070000,case-existing,case-existing
81683,HSOLF1UFV034,-9.550000,-40.430000,case-existing,case-existing
81684,HSOLF1-BA034,-9.530000,-40.460000,interpolated,topology-interp
81685,HUMAIT-BA230,-9.510000,-40.490000,interpolated,topology-interp
81686,CHAP-1-PI034,-7.465000,-40.750000,interpolated,topology-interp
81687,CHAP-2-PI034,-7.475000,-40.755000,interpolated,topology-interp
81688,CP21.8EOL034,-7.450000,-40.740000,case-existing,case-existing
81689,CP21.7EOL034,-7.470000,-40.750000,case-existing,case-existing
81690,ZACA3-EOL034,-7.640000,-40.650000,case-existing,case-existing
